State(Sec: 0.00, Vel m/s: 0.00, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 3.05, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 0.33, Vel m/s: 0.49, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 3.13, Y: 0.00), Rotation2d(Rads: 0.02, Deg: 1.04)), Curvature: 0.44), 
State(Sec: 0.46, Vel m/s: 0.69, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 3.21, Y: 0.00), Rotation2d(Rads: 0.07, Deg: 3.95)), Curvature: 0.88), 
State(Sec: 0.55, Vel m/s: 0.83, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 3.28, Y: 0.01), Rotation2d(Rads: 0.15, Deg: 8.61)), Curvature: 1.35), 
State(Sec: 0.59, Vel m/s: 0.89, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 3.31, Y: 0.02), Rotation2d(Rads: 0.20, Deg: 11.54)), Curvature: 1.59), 
State(Sec: 0.63, Vel m/s: 0.95, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 3.35, Y: 0.03), Rotation2d(Rads: 0.26, Deg: 14.83)), Curvature: 1.82), 
State(Sec: 0.66, Vel m/s: 1.00, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 3.38, Y: 0.03), Rotation2d(Rads: 0.32, Deg: 18.41)), Curvature: 2.01), 
State(Sec: 0.70, Vel m/s: 1.04, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 3.41, Y: 0.05), Rotation2d(Rads: 0.39, Deg: 22.20)), Curvature: 2.14), 
State(Sec: 0.73, Vel m/s: 1.09, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 3.43, Y: 0.06), Rotation2d(Rads: 0.45, Deg: 26.07)), Curvature: 2.19), 
State(Sec: 0.75, Vel m/s: 1.13, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 3.46, Y: 0.07), Rotation2d(Rads: 0.52, Deg: 29.90)), Curvature: 2.16), 
State(Sec: 0.78, Vel m/s: 1.17, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 3.49, Y: 0.09), Rotation2d(Rads: 0.59, Deg: 33.57)), Curvature: 2.04), 
